,Humidity 29th April,Humidity 30th April,Humidity 1st May,Humidity 2nd May,Humidity 3rd May,Humidity 4th May,Humidity 5th May,Humidity 6th May,Humidity 7th May,Humidity 8th May,Humidity 9th May,Humidity 10th May,Humidity 11th May,Pressure 29th April,Pressure 30th April,Pressure 1st May,Pressure 2nd May,Pressure 3rd May,Pressure 4th May,Pressure 5th May,Pressure 6th May,Pressure 7th May,Pressure 8th May,Pressure 9th May,Pressure 10th May,Pressure 11th May,Visibility 29th April,Visibility 30th April,Visibility 1st May,Visibility 2nd May,Visibility 3rd May,Visibility 4th May,Visibility 5th May,Visibility 6th May,Visibility 7th May,Visibility 8th May,Visibility 9th May,Visibility 10th May,Visibility 11th May
06:00,93%,91%,93%,92%,90%,83%,71%,69%,85%,83%,85%,83%,83%,1012 mb,1010 mb,1010 mb,1011 mb,1010 mb,1010 mb,1010 mb,1011 mb,1011 mb,1011 mb,1010 mb,1012 mb,1013 mb,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
07:00,91%,90%,89%,90%,85%,78%,77%,64%,81%,76%,81%,79%,79%,1012 mb,1011 mb,1010 mb,1010 mb,1010 mb,1010 mb,1011 mb,1011 mb,1011 mb,1011 mb,1010 mb,1012 mb,1013 mb,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
08:00,87%,84%,83%,83%,78%,72%,70%,59%,74%,68%,74%,71%,71%,1012 mb,1011 mb,1010 mb,1011 mb,1010 mb,1010 mb,1011 mb,1011 mb,1011 mb,1011 mb,1010 mb,1013 mb,1013 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
09:00,83%,82%,79%,80%,75%,67%,65%,54%,69%,63%,70%,67%,67%,1012 mb,1011 mb,1011 mb,1011 mb,1010 mb,1011 mb,1011 mb,1012 mb,1011 mb,1011 mb,1011 mb,1013 mb,1013 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
10:00,77%,76%,73%,74%,70%,62%,59%,50%,63%,57%,65%,62%,61%,1013 mb,1011 mb,1011 mb,1011 mb,1010 mb,1011 mb,1011 mb,1012 mb,1011 mb,1011 mb,1011 mb,1013 mb,1013 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
11:00,74%,73%,68%,70%,66%,57%,55%,48%,58%,53%,61%,58%,57%,1012 mb,1011 mb,1011 mb,1011 mb,1010 mb,1011 mb,1011 mb,1011 mb,1011 mb,1011 mb,1011 mb,1013 mb,1013 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
12:00,71%,70%,64%,67%,63%,54%,52%,48%,55%,50%,58%,55%,55%,1012 mb,1010 mb,1011 mb,1011 mb,1010 mb,1011 mb,1011 mb,1011 mb,1011 mb,1010 mb,1011 mb,1013 mb,1013 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
13:00,71%,70%,64%,68%,64%,55%,53%,50%,56%,51%,59%,56%,56%,1012 mb,1010 mb,1011 mb,1010 mb,1010 mb,1011 mb,1011 mb,1011 mb,1011 mb,1010 mb,1011 mb,1012 mb,1013 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
14:00,70%,68%,64%,68%,63%,55%,52%,50%,56%,51%,58%,55%,55%,1011 mb,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1011 mb,1011 mb,1010 mb,1010 mb,1011 mb,1012 mb,1012 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
15:00,69%,68%,64%,68%,63%,56%,52%,51%,55%,51%,58%,55%,55%,1011 mb,1010 mb,1010 mb,1010 mb,1009 mb,1010 mb,1011 mb,1010 mb,1010 mb,1010 mb,1010 mb,1012 mb,1012 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
16:00,70%,69%,67%,69%,64%,57%,52%,53%,56%,53%,59%,56%,56%,1010 mb,1009 mb,1009 mb,1009 mb,1009 mb,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1011 mb,1012 mb,1012 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
17:00,71%,69%,68%,69%,65%,59%,54%,55%,57%,55%,59%,57%,57%,1010 mb,1009 mb,1009 mb,1009 mb,1009 mb,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1011 mb,1012 mb,1012 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
18:00,74%,72%,72%,73%,69%,62%,57%,59%,60%,59%,62%,60%,60%,1010 mb,1008 mb,1009 mb,1009 mb,1009 mb,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1011 mb,1012 mb,1012 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
19:00,77%,75%,74%,76%,72%,67%,62%,63%,63%,63%,67%,64%,64%,1010 mb,1009 mb,1009 mb,1010 mb,1009 mb,1010 mb,1010 mb,1010 mb,1011 mb,1010 mb,1011 mb,1012 mb,1012 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
20:00,79%,76%,77%,77%,73%,70%,67%,67%,68%,68%,70%,67%,68%,1010 mb,1009 mb,1009 mb,1010 mb,1009 mb,1010 mb,1011 mb,1011 mb,1011 mb,1010 mb,1011 mb,1012 mb,1012 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
21:00,81%,79%,79%,79%,77%,74%,69%,71%,70%,72%,71%,69%,69%,1011 mb,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1011 mb,1011 mb,1011 mb,1010 mb,1011 mb,1013 mb,1013 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
22:00,83%,83%,82%,82%,80%,76%,72%,74%,74%,71%,75%,73%,72%,1011 mb,1010 mb,1010 mb,1010 mb,1010 mb,1011 mb,1011 mb,1011 mb,1011 mb,1010 mb,1012 mb,1013 mb,1013 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
23:00,85%,85%,85%,84%,84%,79%,74%,78%,77%,72%,78%,76%,75%,1011 mb,1010 mb,1010 mb,1011 mb,1010 mb,1011 mb,1011 mb,1011 mb,1011 mb,1010 mb,1012 mb,1012 mb,1013 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
00:00,87%,88%,88%,87%,86%,81%,77%,82%,81%,71%,82%,79%,79%,1011 mb,1010 mb,1010 mb,1011 mb,1010 mb,1011 mb,1011 mb,1011 mb,1011 mb,1010 mb,1012 mb,1012 mb,1013 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
01:00,89%,90%,90%,88%,88%,82%,78%,85%,84%,74%,83%,82%,81%,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1011 mb,1011 mb,1011 mb,1010 mb,1012 mb,1012 mb,1012 mb,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
02:00,90%,92%,91%,88%,89%,81%,78%,87%,86%,77%,86%,84%,82%,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1011 mb,1011 mb,1011 mb,1010 mb,1011 mb,1012 mb,1012 mb,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
03:00,92%,92%,91%,89%,89%,80%,77%,87%,87%,78%,86%,84%,83%,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1011 mb,1009 mb,1011 mb,1012 mb,1012 mb,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
04:00,90%,92%,91%,88%,87%,77%,74%,87%,85%,80%,84%,83%,81%,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1011 mb,1010 mb,1011 mb,1010 mb,1012 mb,1012 mb,1012 mb,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
05:00,92%,93%,92%,89%,85%,75%,72%,86%,84%,83%,84%,83%,83%,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1010 mb,1011 mb,1010 mb,1011 mb,1010 mb,1012 mb,1012 mb,1012 mb,Good,Good,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good
